app_id,title,release_date,genres,categories,developer_id,publisher_id,original_price
1558990,Siege of Avalon: Anthology,2021-04-08,"Action, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",5736,16312,"20,94"
1559260,Kong's Wrath: City of Mayhem,2024-05-23,"Action, Adventure, Indie","Single-player, Steam Achievements, Family Sharing, Steam is learning about this game",2859,2353,15
1559500,Happy Halloween,2021-03-13,"Adventure, Casual, Indie, Simulation","Single-player, Family Sharing, Profile Features Limited",15054,7653,"3,12"
1559790,SLASH OF BULLET,2021-04-23,"Action, Casual, Indie, Sports","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing, Profile Features Limited",11341,9388,"20,94"
1559960,Grey Bones,2021-04-10,"Action, Adventure, Casual","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",5900,4811,"33,6"
1560110,PIRATECRAFT,2021-03-12,"Action, Adventure, Casual, Massively Multiplayer","Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Remote Play Together, Family Sharing, Profile Features Limited",8232,6736,"2,52"
1560130,Joe and the Gun,2021-05-13,"Action, Adventure, Casual","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",5900,3602,"3,12"
1560940,Puzzle & Chess,2021-04-09,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",2354,1948,"6,3"
1561870,FALCO AXE,2021-03-23,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",7193,9756,"15,6"
1561980,PaintBall War 2,2022-01-07,"Action, Massively Multiplayer, Simulation, Sports","Single-player, Online PvP, Steam Achievements, In-App Purchases, Family Sharing",19079,15794,"9,9"
1562240,TOOTHY HISTORY,2021-03-20,"Adventure, Casual, Indie, Simulation","Single-player, Family Sharing, Profile Features Limited",15054,7653,"3,12"
1562700,SANABI,2023-11-08,"Action, Adventure, Indie","Single-player, Steam Cloud, Family Sharing",23936,12190,"41,4"
1563180,Internet Cafe Simulator 2,2022-01-07,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",3896,3210,"52,8"
1563850,DIY MY LADY,2021-03-20,Casual,"Single-player, Family Sharing",23785,19661,"61,62"
1564220,Q.U.B.E. 10th Anniversary,2022-09-14,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Commentary available, Family Sharing",22267,18367,"31,14"
1564760,"Bro, where's My head???",2021-03-25,"Action, Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",675,600,"6,3"
1565940,Maya Treasures,2021-03-15,"Casual, Indie, Strategy","Single-player, Family Sharing, Profile Features Limited",20279,13621,"20,94"
